Date,Time,OptionSymbol,Price,Vega,Quantity
08/22/2019,9:00:00,AAPL190823C00207500,5.01,1.22,4
08/22/2019,10:00:00,AAPL190830C00207500,6.65,10.15,-5
08/22/2019,12:00:00,MSFT190830C00148000,0.05,0.72,-50
08/22/2019,13:00:00,TSLA200320P00100000,3.31,16.83,-1
08/22/2019,13:35:00,TSLA210115C00400000,9.55,71.52,1
08/23/2019,9:30:00,MSFT210115C00150000,9.6,60.74,1
08/23/2019,14:35:00,TSLA210115C00400000,7.85,64.85,-2
08/26/2019,11:25:00,AAPL191115P00185000,4.85,27.9,-1
08/26/2019,13:44:00,TSLA190906P00220000,9.68,14.11,1
08/27/2019,9:45:00,MSFT190927C00145000,0.68,9.77,-3
08/27/2019,10:35:00,AAPL190830P00200000,1.18,5.42,5
08/28/2019,9:45:00,TSLA190830C00230000,0.06,0.89,15
08/29/2019,9:32:00,MSFT190906C00138000,1.54,7.66,-3
08/29/2019,11:12:00,AAPL190906P00200000,0.76,7.18,4
08/30/2019,10:12:00,TSLA190906P00205000,0.49,3.76,5
